"State","mormonPop","Pop"
"Utah","2126216","3258370"
"California","756507","39562900"
"Idaho","462069","1823590"
"Arizona","436521","7399410"
"Texas","362037","29363100"
"Washington","289479","7705920"
"Nevada","184703","3132970"
"Florida","160266","21711200"
"Oregon","153540","4253590"
"Colorado","150059","5826180"
"Virginia","96496","8569750"
"North Carolina","89083","10594600"
"Georgia","87411","10723700"
"New York","83293","19376800"
"Hawaii","75009","1411150"
"Missouri","72525","6153230"
"New Mexico","69488","2100920"
"Wyoming","67729","579917"
"Ohio","62623","11701900"
"Illinois","56888","12620600"
"Tennessee","52290","6886720"
"Pennsylvania","52290","12803100"
"Montana","50552","1076890"
"Oklahoma","49227","3973710"
"Indiana","45942","6768940"
"Michigan","45074","9989640"
"Maryland","43411","6055560"
"South Carolina","41358","5213270"
"Kansas","38311","2915270"
"Alabama","37765","4918690"
"Kentucky","35886","4474190"
"New Jersey","34173","8878360"
"Alaska","33495","727951"
"Minnesota","33276","5673020"
"Arkansas","32307","3025880"
"Iowa","28402","3161520"
"Massachusetts","28040","6902370"
"Wisconsin","27125","5837460"
"Louisiana","25589","4637900"
"Nebraska","25098","1943200"
"Mississippi","21649","2971280"
"West Virginia","17143","1780000"
"Connecticut","15946","3559050"
"North Dakota","11550","766044"
"Maine","10958","1349370"
"South Dakota","10610","890620"
"New Hampshire","8872","1365960"
"Delaware","5634","982049"
"Vermont","4623","623620"
"Rhode Island","4259","1060440"
